song,artist,avg_popularity,total_days,reentry_count,momentum_score,momentum_score_final,album_type,is_explicit,Momentum_Level
Closer Than This,Jimin,0.8088878913702165,0.6039783001808318,0.12903225806451613,180.84328358208955,0.611443887352261,album,False,Medium
Closer to You (feat. Major Lazer),Jung Kook,0.8319131161236424,0.10669077757685352,0.4193548387096774,189.49166666666667,0.5318347590768127,album,False,Medium
Coca Cola Red (Feat. oygli),Beenzino,0.46115288220551376,0.007233273056057867,0.0,24.5,0.23274642301957424,album,True,Low
Combo,RIIZE,0.38095238095238093,0.0018083182640144665,0.0,19.6,0.1910186859553948,album,False,Low
Come back to me,RM,0.7268170426065163,0.009041591320072333,0.03225806451612903,48.05,0.37257261160250565,single,False,Low
Come back to me,RM,0.7268170426065163,0.009041591320072333,0.03225806451612903,48.05,0.37257261160250565,album,False,Low
Cool With You,NewJeans,0.8718307396397971,0.15370705244122965,0.03225806451612903,79.28255813953488,0.48847909845549325,single,False,Medium
Cosmic,Red Velvet,0.6997493734335839,0.0433996383363472,0.03225806451612903,52.4,0.36934619112092193,single,False,Low
Crazier,LE SSERAFIM,0.6115288220551378,0.0,0.0,30.8,0.3057644110275689,single,False,Low
Cream Soda,EXO,0.7568922305764411,0.0018083182640144665,0.0,38.35,0.37898861076742485,album,False,Low
"Crime (Feat. Bek Hyunjin, 250)",Beenzino,0.40100250626566414,0.0018083182640144665,0.0,20.6,0.20104374861203642,album,True,Low
Cruel Summer,Taylor Swift,0.9765449480274391,0.45207956600361665,0.5161290322580645,284.00517928286854,0.7271221502664175,album,False,Medium
Cupid,FIFTY FIFTY,0.8798920377867746,0.0922242314647378,0.03225806451612903,69.48461538461538,0.47406490123603445,single,False,Medium
Cupid - Twin Ver.,FIFTY FIFTY,0.9846153846153847,0.11573236889692586,0.0967741935483871,98.6076923076923,0.5463822416864476,single,False,Medium
Cupido,Engel Montaz & Kuv507 & Latinnites Music,0.6917293233082706,0.0054249547920434,0.03225806451612903,45.7,0.35394376099497415,single,False,Low
DASH,NMIXX,0.7801646974579305,0.09945750452079566,0.0,55.71071428571429,0.41991960008520396,album,False,Medium
DELRESTO (ECHOES),Travis Scott,0.0,0.0,0.0,0.3,0.0,album,True,Low
DIE 4 YOU,DEAN,0.7175080558539204,0.048824593128390596,0.0,44.18571428571428,0.3734014058654774,single,False,Low
DO IT,Kanye West & Ty Dolla $ign,0.7819548872180451,0.0,0.0,39.3,0.39097744360902253,album,True,Low
DRIP,BABYMONSTER,0.7644110275689222,0.04159132007233273,0.0,45.325,0.39468290980616094,album,False,Low
Dance The Night (From Barbie The Album),Dua Lipa,0.9557226399331662,0.030741410488245934,0.0967741935483871,83.06666666666666,0.5064385818227343,single,False,Medium
Dancing In The Flames,The Weeknd,0.8220551378446115,0.0108499095840868,0.0,43.1,0.41428254179753177,single,False,Medium
Dangerous,BOYNEXTDOOR,0.5931495405179615,0.019891500904159132,0.0,33.18333333333333,0.3025422205302285,single,False,Low
Dangerous,BOYNEXTDOOR,0.5931495405179615,0.019891500904159132,0.0,33.18333333333333,0.3025422205302285,album,False,Low
Dangerously,Charlie Puth,0.5295381310418904,0.048824593128390596,0.12903225806451613,74.81071428571428,0.3052228950723656,album,False,Low
Dare to Love (feat. BIG Naughty),B.I,0.6390977443609023,0.012658227848101266,0.03225806451612903,44.275,0.32979795343810736,album,False,Low
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",0.7919799498746867,0.0018083182640144665,0.0,40.1,0.39653247041654766,album,True,Low
Deja Vu,TOMORROW X TOGETHER,0.8242033655567489,0.048824593128390596,0.0,49.50714285714285,0.4267490607168916,album,False,Medium
Demon,$ecrecy,0.38095238095238093,0.0,0.0,19.3,0.19047619047619047,album,True,Low
Deseydin Anlard?m,EDES,0.010025062656641603,0.0018083182640144665,0.0,1.1,0.005555026807525142,single,False,Low
Die With A Smile,Lady Gaga & Bruno Mars,0.9704844635861497,0.18444846292947556,0.0,79.30291262135921,0.5405767706719176,single,False,Medium
Discord,QWER,0.5854636591478696,0.007233273056057867,0.03225806451612903,40.7,0.301353424393978,single,False,Low
Ditto,NewJeans,0.8426949727259324,0.6745027124773959,0.8709677419354839,424.2294117647059,0.7978918484932818,single,False,High
Ditto (250 Remix),NewJeans,0.5864661654135338,0.0018083182640144665,0.0,29.85,0.2937755781859712,album,False,Low
